Number,City,Gender,Age,Income,Illness
813,Dallas,Male,30,37435,No
814,Dallas,Male,32,55068,No
815,Dallas,Female,27,36272,No
816,Dallas,Female,59,31201,No
817,Dallas,Female,54,50688,No
818,Dallas,Female,53,42512,No
819,Dallas,Male,38,34032,No
820,Dallas,Male,34,72761,Yes
821,Dallas,Female,34,45351,No
822,Dallas,Female,53,30516,No
823,Dallas,Male,36,61695,Yes
824,Dallas,Male,42,37302,No
825,Dallas,Male,26,29672,No
826,Dallas,Female,45,42411,Yes
827,Dallas,Male,62,51963,No
828,Dallas,Female,61,50246,No
829,Dallas,Female,59,44597,Yes
830,Dallas,Male,48,56286,No
831,Dallas,Male,29,45696,No
832,Dallas,Male,43,62340,No
833,Dallas,Male,49,46041,No
834,Dallas,Male,65,49903,No
835,Dallas,Male,33,51486,No
836,Dallas,Female,45,42944,No
837,Dallas,Male,44,58928,No
838,Dallas,Male,62,45036,No
839,Dallas,Female,55,21179,No
840,Dallas,Female,62,23842,No
841,Dallas,Male,62,56631,No
842,Dallas,Male,33,28851,No
843,Dallas,Female,37,41037,No
844,Dallas,Male,64,42812,No
845,Dallas,Male,57,43022,No
846,Dallas,Female,43,54184,No
847,Dallas,Male,45,51265,No
848,Dallas,Male,56,54648,No
849,Dallas,Female,31,49693,No
850,Dallas,Female,41,53618,No
851,Dallas,Female,63,60039,Yes
852,Dallas,Female,51,40647,No
853,Dallas,Female,55,43747,No
854,Dallas,Male,55,29834,Yes
855,Dallas,Male,34,60668,No
856,Dallas,Male,28,46849,No
857,Dallas,Female,61,41663,No
858,Dallas,Male,29,33106,No
859,Dallas,Male,50,54366,No
860,Dallas,Male,45,42806,Yes
861,Dallas,Female,63,40631,No
862,Dallas,Female,27,43036,No
863,Dallas,Male,56,36089,No
864,Dallas,Female,51,49630,No
865,Dallas,Male,40,37641,No
866,Dallas,Female,58,53090,No
867,Dallas,Male,37,60900,No
868,Dallas,Male,27,56753,No
869,Dallas,Male,40,53889,No
870,Dallas,Female,34,36969,No
871,Dallas,Female,39,29887,No
872,Dallas,Male,30,61874,No
873,Dallas,Male,64,54535,No
874,Dallas,Male,48,48271,No
875,Dallas,Male,30,41745,No
876,Dallas,Male,41,51876,No
877,Dallas,Male,57,44902,No
878,Dallas,Female,30,38145,No
879,Dallas,Male,59,50634,No
880,Dallas,Female,59,44524,No
881,Dallas,Female,49,42103,No
882,Dallas,Female,28,35674,No
883,Dallas,Male,48,41036,No
884,Dallas,Male,40,57797,No
885,Dallas,Male,44,42483,No
886,Dallas,Male,59,32401,No
887,Dallas,Male,32,57292,Yes
888,Dallas,Male,39,44952,No
889,Dallas,Female,48,34758,No
890,Dallas,Male,26,43909,No
891,Dallas,Male,47,51939,No
892,Dallas,Female,59,23297,No
893,Dallas,Male,52,54942,No
894,Dallas,Male,57,53989,Yes
895,Dallas,Female,28,29899,No
896,Dallas,Female,45,34819,No
897,Dallas,Male,56,54364,No
898,Dallas,Male,54,59417,No
899,Dallas,Female,46,46558,Yes
900,Dallas,Male,62,61800,Yes
901,Dallas,Female,29,53218,No
902,Dallas,Male,32,62316,No
903,Dallas,Male,63,57323,No
904,Dallas,Male,43,52591,No
905,Dallas,Male,45,58201,No
906,Dallas,Male,42,71020,No
907,Dallas,Female,35,25468,No
908,Dallas,Female,48,48063,No
909,Dallas,Female,34,41061,No
910,Dallas,Male,38,56176,No
911,Dallas,Male,64,64578,No
912,Dallas,Female,60,44612,No
913,Dallas,Female,36,40858,No
914,Dallas,Male,46,34372,No
915,Dallas,Male,30,76797,No
916,Dallas,Female,57,52688,No
917,Dallas,Female,39,44034,Yes
918,Dallas,Male,45,49020,No
919,Dallas,Male,48,49415,No
920,Dallas,Female,49,45144,No
921,Dallas,Male,29,50381,No
922,Dallas,Female,42,46552,No
923,Dallas,Male,57,38930,No
924,Dallas,Male,53,54258,No
925,Dallas,Male,31,45795,No
926,Dallas,Male,50,74058,No
927,Dallas,Female,60,43751,No
928,Dallas,Female,64,45470,No
929,Dallas,Female,37,29893,No
930,Dallas,Female,25,38943,No
931,Dallas,Male,62,38130,Yes
932,Dallas,Female,42,33564,No
933,Dallas,Male,61,35369,No
934,Dallas,Male,52,44141,No
935,Dallas,Male,28,41499,Yes
936,Dallas,Female,61,48818,No
937,Dallas,Male,36,50367,No
938,Dallas,Male,64,55768,No
939,Dallas,Female,63,41066,No
940,Dallas,Female,28,32576,No
941,Dallas,Female,38,17634,No
942,Dallas,Female,48,40956,No
943,Dallas,Female,26,43134,No
944,Dallas,Male,25,48640,No
945,Dallas,Male,34,38668,No
946,Dallas,Male,31,35769,No
947,Dallas,Female,58,37390,No
948,Dallas,Male,26,62829,No
949,Dallas,Female,60,41589,No
950,Dallas,Male,32,52609,No
951,Dallas,Female,33,53759,Yes
952,Dallas,Male,31,70340,No
953,Dallas,Female,51,40322,No
954,Dallas,Female,40,45254,Yes
955,Dallas,Male,48,70473,No
956,Dallas,Female,60,41613,No
957,Dallas,Female,45,32292,No
958,Dallas,Male,34,43159,No
959,Dallas,Male,41,42034,No
960,Dallas,Male,55,45975,No
961,Dallas,Male,57,72245,No
962,Dallas,Female,58,32157,No
963,Dallas,Male,34,55417,Yes
964,Dallas,Female,42,46840,No
965,Dallas,Female,54,27955,No
966,Dallas,Female,32,59654,Yes
967,Dallas,Male,62,45268,No
968,Dallas,Female,40,56463,No
969,Dallas,Male,35,56033,No
970,Dallas,Male,62,54903,No
971,Dallas,Male,60,62588,No
972,Dallas,Male,64,48532,No
973,Dallas,Female,45,51746,No
974,Dallas,Male,63,55645,No
975,Dallas,Female,27,32235,No
976,Dallas,Male,39,63087,No
977,Dallas,Female,64,56341,No
978,Dallas,Male,53,47805,No
979,Dallas,Male,35,57044,No
980,Dallas,Male,55,43573,No
981,Dallas,Female,62,29060,Yes
982,Dallas,Male,46,21376,No
983,Dallas,Male,55,61459,No
984,Dallas,Female,34,41694,No
985,Dallas,Male,45,51579,No
986,Dallas,Male,57,49005,No
987,Dallas,Female,45,53578,No
988,Dallas,Male,40,32086,No
989,Dallas,Female,37,37503,No
990,Dallas,Female,65,49281,No
991,Dallas,Female,52,42539,No
992,Dallas,Female,52,46952,Yes
993,Dallas,Male,51,48797,No
994,Dallas,Male,36,31666,No
995,Dallas,Female,51,53092,No
996,Dallas,Male,37,48650,No
997,Dallas,Male,63,38553,No
998,Dallas,Female,38,45329,No
999,Dallas,Male,64,67187,Yes
1000,Dallas,Male,62,55827,No
